CAS,R,SMILES,PBT_label
226-86-8,n,c1ccc2ccc3cc4cc5ccc6ccccc6c5cc4cc3c2c1,1
226-88-0,pr,c1ccc2cc3cc4ccc5ccccc5c4cc3cc2c1,1
226-92-6,n,c1ccc2cc3nc4ccc5ccccc5c4cc3cc2c1,1
226-97-1,n,c1ccc2cc3cc4ccc5ccccc5c4nc3cc2c1,1
227-04-3,n,c1ccc2ccc3cc4cc5c(ccc6ccccc56)cc4cc3c2c1,1
238-04-0,n,c1ccc2c(c1)ccc1cc3c4cccc5cccc(c3cc21)c45,1
239-64-5,pr,c1ccc2ccc3c4ccc5ccccc5c4[nH]c3c2c1,1
239-98-5,pr,c1ccc2cc3cc4cc5ccc6ccccc6c5cc4cc3cc2c1,1
241-34-9,n,c1ccc2c(c1)sc1cc3c(cc21)sc1ccccc31,1
241-37-2,n,C1CCC2SC3CC4SC5CCCCC5C4CC3C2C1,1
298-57-7,pr,c1ccc(C=CCN2CCN(CC2)C(c2ccccc2)c2ccccc2)cc1,1
306-92-3,pr,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)F,1
306-94-5,pr,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,1
306-95-6,pr,FC1(F)C2(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C1(F)F,1
307-33-5,pr,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl)C(F)(F)C(F)(F)F,1
307-34-6,pr,FC(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
307-35-7,r,FS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
307-43-7,pr,FC(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,1
307-45-9,n,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
307-70-0,pr,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,1
307-87-9,pr,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
307-98-2,pr,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
308-48-5,n,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
309-00-2,pr,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,1
313-04-2,pr,CC(=CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C,1
313-72-4,pr,Fc1c(F)c(F)c(F)c2c1c(F)c(F)c(F)c2F,1
313-74-6,n,Cc1c2c(ccc3cccc(C)c23)cc2ccccc12,1
316-05-2,pr,CCN(CC)CCCC(C)Nc1c2cc(OC)ccc2nc2cc(Cl)ccc12,1
316-14-3,n,Cc1cc2ccccc2c2cc3ccccc3cc12,1
316-49-4,n,Cc1cccc2c1ccc1cc3ccccc3cc21,1
317-64-6,n,Cc1cc2ccccc2c2cc3cccc(C)c3cc12,1
335-21-7,n,FC1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C1(F)F,1
335-27-3,pr,FC1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,1
335-35-3,pr,FC(F)(C(F)(F)F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)C1(F)F,1
335-36-4,pr,FC(F)(C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)F,1
335-58-0,pr,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)F,1
335-65-9,pr,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
335-71-7,pr,FC(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)F,1
338-83-0,i,FC(F)(C(F)(F)F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1
355-43-1,pr,FC(F)(C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
361-07-9,n,Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(F)(F)F,1
366-93-8,n,Clc1ccccc1CNCC1CCC(CNCc2ccccc2Cl)CC1,1
370-50-3,pr,O=C(Nc1ccc(Cl)c(c1)C(F)(F)F)Nc1ccc(Cl)c(c1)C(F)(F)F,1
374-77-6,n,FC1(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,1
375-80-4,pr,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,1
375-81-5,pr,FS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
375-88-2,pr,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br)C(F)(F)C(F)(F)F,1
375-96-2,n,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
375-97-3,pr,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
376-14-7,pr,CCN(CCOC(=O)C(=C)C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
376-22-7,pr,FC(=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)F,1
376-79-4,n,FC(=C(F)C(F)(Cl)C(F)(Cl)C(F)(Cl)C(F)(Cl)Cl)Cl,1
383-07-3,pr,CCCCN(CCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
