SMILES,PBT_label
O=P(OCCCl)(OCCCl)OCC(CCl)(CCl)COP(=O)(OCCCl)OCCCl,0.0
Brc1cc(Br)c(Oc2ccc(Br)c(Br)c2)c(Br)c1,1.0
CC(Br)(CBr)COc1c(Br)cc(C(C)(C)c2cc(Br)c(OCC(C)(Br)CBr)c(Br)c2)cc1Br,0.0
CC(C)=CCCC(C)=CC=O,0.0
O=C(O)C(O)C(O)C(O)C(O)CO,0.0
CC(CO)c1ccc2c(c1)C(C)(C)C(C)C2(C)C,0.0
CCN(CC)CCC=C1c2ccccc2Sc2ccc(Cl)cc21,1.0
Clc1ccc2c(c1)C(=CCCN1CCCC1)c1ccccc1S2,1.0
Nc1cccc(N)c1,0.0
Oc1c(Cl)cc(Cl)cc1Cl,0.0
CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,1.0
CC(C)(C)CC(C)(C)c1ccc(O)cc1,0.0
CCCCOC(=O)C=CC(=O)OCCCC,0.0
Cc1c(Cl)cccc1Cl,0.0
CCc1c2ccccc2c(C)c2c1ccc1ccccc12,1.0
Clc1ccc(Cl)c(Cl)c1,1.0
CC(C)=CCCC(C)=CCCC(C)=CCO,0.0
CN(C)CCC=C1c2ccccc2Sc2ccc(I)cc21,1.0
O=C(c1ccc(F)cc1)c1ccc(C(=O)c2ccc(F)cc2)cc1,0.0
Cc1ccc(N(C)N=CC2=[N+](C)c3ccccc3C2(C)C)cc1,0.0
NC(N)=NCCCC(N)C(=O)O,0.0
Cc1cccc(Cc2ccccc2)c1Cc1ccccc1,0.0
Nc1cccc2cccc(N)c12,0.0
Brc1ccccc1CNCC1CCC(CNCc2ccccc2Br)CC1,1.0
O=C=NCCCCCCn1c(=O)n(CCCCCCN=C=O)c(=O)n(CCCCCCN=C=O)c1=O,0.0
CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,1.0
CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,0.0
Cc1ccc2ccccc2c1,0.0
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,1.0
CC(C)CCCC(C)C1CCC2C3CC=C4CC(OCCOCCOCCOCCOCCO)CCC4(C)C3CCC12C,1.0
CC(C)CCCCCCCOCCCN,0.0
CC(=O)OCC=C(C)CCC=C(C)C,0.0
CC1CCC2(OC1)OC1CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C1C2C,1.0
O=C(O)C(=O)O,0.0
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)(Cl)CC3C1(Cl)C2(Cl)Cl,1.0
CN1CCN(C(=O)CC(c2ccc(Cl)cc2)(c2ccc(Cl)cc2)c2ccc(Cl)cc2)CC1,1.0
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1.0
CCOC(=O)C(C)O,0.0
CCCCCCCCCCCCO,0.0
Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O,0.0
O=[N+]([O-])c1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0.0
Cc1cc(N)ccc1N,0.0
CCC=CCCOC(=O)C(C)C,0.0
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)cc1,1.0
CC(C)CCCCCCCCCCCCCCC(=O)O,0.0
CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,0.0
CC(C)c1ccc(C(C)C)cc1,0.0
ClCC=Cc1ccccc1,0.0
NCCCCC(N)C(=O)O,0.0
C[N+](C)(C)Cc1ccccc1,0.0
CC(C)C(O)C(C)(C)CO,0.0
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1.0
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
CC(C)CCCC(C)C1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C,1.0
COc1ccc2c(c1)C13CCCCC1C(C2)N(CCc1ccccc1)CC3,1.0
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,1.0
ClC=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.0
Cc1ccc(Nc2ccc(Nc3ccc(C)cc3)c3c2C(=O)c2ccccc2C3=O)cc1,0.0
